modelo,marca,año,VIN del carro
Grand Voyager,Plymouth,1995,WAUXU64B72N835517
Suburban 2500,Chevrolet,2001,JH4CU2F68AC743688
Navajo,Mazda,1994,3VW507ATXEM856804
Grand Vitara,Suzuki,2006,3N1CE2CPXFL486804
Quest,Nissan,1993,JN8AF5MR7BT240774
Continental,Bentley,2009,1FBSS3BL5AD124210
Sonata,Hyundai,1995,1FADP3E20FL878792
Sunbird,Pontiac,1988,JM1NC2MF9E0474527
Xterra,Nissan,2000,WBAVB73507F893839
7 Series,BMW,2009,1D7CE3GK8AS869688
E350,Ford,2005,5N1AA0ND2EN049428
Sonata,Hyundai,1999,WP0CA2A85FS986634
Grand Cherokee,Jeep,2006,2G4WB52K411457475
4Runner,Toyota,2005,WAUJC58E53A724044
Mystique,Mercury,1998,1GKS1FEJ4CR142009
Safari,GMC,1994,SALSF2D43DA042221
Rodeo Sport,Isuzu,2003,1G6D25ED7B0643293
Yukon,GMC,2006,3C63D2CL1CG913859
Cayenne,Porsche,2005,1FTNF1E81AK578331
300,Chrysler,2006,3D4PG6FV7AT481341
Crown Victoria,Ford,2003,5FRYD3H62GB363444
S2000,Honda,2000,WA1C8AFP1EA447500
M-Class,Mercedes-Benz,2007,JN1BY1ARXFM685200
V50,Volvo,2009,WBAXH5C58DD807356
RSX,Acura,2002,KNADM4A32F6122223
QX,Infiniti,1998,WAULC68EX2A640122
E-Class,Mercedes-Benz,2002,4T1BF1FK4DU192152
Caravan,Dodge,2006,3VW4A7AT0DM514432
Vision,Eagle,1997,19UUA8F27AA796474
Grand Prix,Pontiac,1972,1FTMF1E83AK175088
Daewoo Magnus,Suzuki,2006,2G4GZ5GV8B9310615
Cultus,Suzuki,1985,KM8JT3AC2AU262484
LX,Lexus,2002,WAUGN74F57N040124
Mountaineer,Mercury,2010,SAJWA4DC0EM654971
Legacy,Subaru,2011,1G4GC5EC6BF592215
Continental,Bentley,2008,WAUVT58EX2A971883
Grand Voyager,Plymouth,1996,4T1BK3DB3CU732860
Ram Van 2500,Dodge,2002,WAUJC68E52A532840
Impreza WRX,Subaru,2010,WDDHF5GB8AA526013
